DICIONARIO,,,,,,,,,,
PALAVRA/SINGULAR,,SIGNIFICADO/TRADUÇÃO,,CLASE,,PLURAL,,PRONÚNCIA,USO,AMBIENTE
Kaira,,Olá / Oi,,Interjeição,,-,,Kái-ra,"Informal, entre amigos e família",INFORMAL
Nofra,,Bom dia/Bem-vindo,,Interjeição,,-,,Nó-fra,"Ao encontrar estranhos, nobres ou iniciar discursos",FORMAL
Ujai,,Adeus,,Interjeição,,-,,U-jái,"""(Vá com) saúde""/AMBOS",AMBOS
Amota,,Obrigado,,Interjeição,,-,,A-mó-ta,Amota Nōca (Graça Grande)/AMBOS,AMBOS
Sena,,De nada / Por favor,,Interjeição,,-,,Sê-na,Uma partícula suave de permissão ou passagem,AMBOS
Ha ne Nutais!,,Pelos Deuses,,Exclamaçõa,,Nutais,,Rá nê Nu-táis,-,AMBOS
Kau,,Entre / Meio,,Preposição,,Kauis,,,,AMBOS
Lēs,,Correntezas,,Subst. fem.,,Já é plural de agua,,,,AMBOS
Valis,,Montanha / Pico,,Subst. fem.,,-,,,,AMBOS
Lē,,Junto de/proximo de,,Locução,,Lēis,,,,AMBOS
Artē,,Alto / Supremo,,Adjetivo,,Artēis,,,,AMBOS
Ais,,Prata / Espelho,,Subst. Masc.,,Aisis,,,,AMBOS
Mōa,,Água,,Subst. Neutro,,Mōais,,Mô-a,"Água de beber, chuva ou líquidos em geral.",AMBOS
Oika,,Pão / Comida,,Subst. Masc.,,Oikais,,Oi-ka,Usado para pão ou qualquer refeição sólida básica.,AMBOS
Aia,,Casa / Lar,,Subst. fem.,,Aiais,,Ái-a,Refere-se à construção ou ao sentimento de lar.,AMBOS
Huo,,Dia/sol,,Subst. Masc.,,Huois,,Hu-ó,O período de luz do sol.,AMBOS
Ushē,,Noite,,Subst. fem.,,Ushēis,,U-chê,O período de escuridão/lua.,AMBOS
Joma,,Livro / Escrito,,Subst. Masc.,,Jomais,,Jô-ma,"Qualquer registro escrito, carta ou grimório.",AMBOS
Shibra,,Amigo(a),,Subst. Masc.,,Shibrais,,Chi-bra,Usado para aliados e pessoas próximas.,AMBOS
Kota,,Fogo / Chama,,Subst. Masc.,,Kotais,,Kô-ta,"Fogo de lareira, tocha ou elemento mágico.",AMBOS
Woma,,Comer,,Verbo,,-,,Uô-ma,Ação de se alimentar. (Passado: Womem).,AMBOS
Sia,,Beber,,Verbo,,-,,Si-a,Ação de beber. (Passado: Siem).,AMBOS
en,,em/dentro,,Preposição,,-,,En,Usando para se referir a algo dentro de ou em algo,AMBOS
Iota,,Pai,,Subst. Masc.,,Iotais,,I-ô-ta,"Formal. Para o pai afetivo (papai), usa-se Apa.",FORMAL
Mava,,Mãe,,Subst. Fem.,,Mavais,,Má-va,"Formal. Para a mãe afetiva (mamãe), usa-se Ama.",FORMAL
Shira,,Filha,,Subst. Fem.,,Shirais,,Chi-ra,Derivado de Sheri. Som suave.,AMBOS
Shiro,,Filho,,Subst. Masc.,,Shirois,,Chi-rô,O final 'o' marca o masculino jovem.,AMBOS
Irmão/soldado,,Irmão,,Subst. Masc.,,Sonais,,Sô-na,"Usado também para ""irmão de armas"" ou monge.",FORMAL
Sōni,,Irmã,,Subst. Fem.,,Sōnis,,Sô-ni,Única palavra que mantém o final em 'i' para diferenciar.,AMBOS
Uro,,Rei,,Título,,Urois,,U-rô,Do Copta Ouro.,FORMAL
Ura,,Rainha,,Título,,Urais,,U-ra,A terminação 'a' suaviza e feminiliza.,FORMAL
Heka,,Mago / Feiticeiro,,Título,,Hekais,,Hê-ka,"Do Egípcio Heka (Magia). Mais místico que ""Mago"".",FORMAL
Neba,,Lorde / Senhor,,Título,,Nebais,,Nê-ba,Do Egípcio Neb. Alguém que possui terras.,FORMAL
Nebti,,Lady / Senhora,,Título,,Nebtis,,Neb-ti,Feminino de Neba.,FORMAL
Jōm,,Mestre / Sábio,,Título,,Jōmis,,Jôm,"Raiz para ""Livro"" (Joma). ""Aquele do livro"".",FORMAL
Kaia,,Terra / Solo,,Subst. Fem.,,Kaiais,,Kái-a,"Refere-se ao chão físico, terra de plantio.",AMBOS
To,,País / Território,,Subst. Masc.,,Tois,,Tô,Usado para nações (Ex: To Carnenia).,AMBOS
Maia,,Amar / Gostar,,Verbo / Subst.,,Maias (Amores),,Mái-a,Raiz universal de afeto.,AMBOS
Mise,,Jei,,Verbo,,-,,Mi-sé,Do Copta Miste. O oposto de Maia.,AMBOS
Hēt,,Coração,,Subst. Masc.,,Hētis,,Hêt,O órgão e o centro das emoções.,AMBOS
Hela,,Senhor / Venerável,,Pronome de tratamento,,,,Hllo (Ancião),Para homens mais velhos na rua/mercado.,FORMAL
Helaia,,Senhora / Venerável,,Pronome de tratamento,,,,Hllo + aia (fem),Para mulheres mais velhas.,FORMAL
Alu,,Jovem / Garoto(a),,Pronome de tratamento,,,,Alou (Menino),"Gênero neutro/masculino. ""Ei, jovem!"" para jovens",FORMAL
Alua,,Jovem / Garota,,Pronome de tratamento,,,,Alou + a,Especificamente feminino. para jovens ou menos experiente,FORMAL
-k,,Sr./Respeitável,,Sufixo de respeito,,,,som curto e seco,Petros-k,FORMAL
Kama,,Preto / Escuro,,Adjetivo,,Kamais,,Ká-ma,"De onde vem a palavra ""Kemet"" (Egito - Terra Negra).",AMBOS
Woba,,Branco / Claro,,Adjetivo,,Wobais,,Uô-ba,Simplificamos Ouobaš removendo o 'sh' final áspero.,AMBOS
Tresha,,Vermelho,,Adjetivo,,Treshais,,Trê-cha,Mantivemos o som forte para cor de sangue/fogo.,AMBOS
Wota,,Verde,,Adjetivo,,Wotais,,Uô-ta,Ouot significa verdura/fresco.,AMBOS
Ezba,,Azul,,Adjetivo,,Ezbais,,Êz-ba,Derivado de Lápis-lazúli (pedra azul).,AMBOS
Nub,,Dourado / Ouro,,Adjetivo,,Nubis,,Nub,Raiz clássica para ouro.,AMBOS
Shima,,Pequeno,,Adjetivo,,Shimais,,Chí-ma,Oposto de Nōca (Grande).,AMBOS
Bera,,Novo,,Adjetivo,,Berais,,Bé-ra,Usado para coisas recém-criadas.,AMBOS
Pasa,,Velho / Antigo,,Adjetivo,,Pasais,,Pá-sa,Usado para objetos (Hela é para pessoas).,AMBOS
Homa,,Quente,,Adjetivo,,Homais,,Hô-ma,"Calor de temperatura, não de clima.",AMBOS
Jafa,,Frio,,Adjetivo,,Jafais,,Já-fa,Sensação térmica.,AMBOS
Sura,,Morto / Vazio,,Adjetivo,,Surais,,Su-ra,Algo sem vida ou deserto.,AMBOS
Bala,,Olho,,Subst. Masc.,,Balais,,Bá-la,,AMBOS
Tota,,Mão,,Subst. Fem.,,Totais,,Tô-ta,"Origem: Copta Tot. Usado para ""ação"" ou ""poder manual"".",AMBOS
Joa,,Cabeça,,Subst. Fem.,,Joais,,Jô-a,"Origem: Copta Djo. Pode significar ""Chefe"" ou ""Líder"" em contextos militares.",AMBOS
Roa,,Boca,,Subst. Masc.,,Roais,,Rô-a,"Origem: Copta Ro. Usado também para ""Entrada"" (ex: Boca da caverna).",AMBOS
Senofa,,Sangue,,Subst. Masc.,,-,,Se-nô-fa,Origem: Copta Snof. Geralmente usado no singular (como líquido).,AMBOS
Foa,,Cabelo,,Subst. Masc.,,Foais,,Fô-a,Origem: Copta Fwi. Usado para cabelo ou pelagem de animais nobres.,AMBOS
Rata,,Pé,,Subst. Masc.,,Ratais,,Rá-ta,Origem: Copta Rat. Usado para base de montanhas também.,AMBOS
Haka,,Ouvido / Orelha,,Subst. Masc.,,Hakais,,Há-ka,Origem: Copta Maaje (adaptado para soar mais agudo/élfico).,AMBOS
Raha,,Lavar,,Verbo,,-,,Ra-há,Ato de lavar algo,AMBOS
Naya ,,Ver,,Verbo,,-,,,Ato de ver,AMBOS
Hrēra,,Flor,,Subst. Masc.,,Hrērais,,Reera,,AMBOS
Hala,,Passaro,,Subst. Masc.,,Halais,,àla,,AMBOS
Satera,,Moeda,,Subst. Fem.,,Saterais,,Saterá,,AMBOS
Ko ,,Ter ,,Verbo,,-,,Kó,"é um Verbo simples para ""ter/possuir"", derivado de Kw",AMBOS
Wa,,Um (1),,Numeral,,-,,U-á,"""Wa Heka"" (Um mago).",AMBOS
Snava,,Dois (2),,Numeral,,-,,Sná-va,"""Snava Balais"" (Dois olhos).",AMBOS
Shomta,,Três (3),,Numeral,,-,,Chôm-ta,Sagrado para trindades.,AMBOS
Fotu,,Quatro (4),,Numeral,,-,,Fó-tu,"Pontos cardeais, lados.",AMBOS
Tiwa,,Cinco (5),,Numeral,,-,,Ti-uá,Dedos da mão.,AMBOS
Soa,,Seis (6),,Numeral,,-,,Sô-a,-,AMBOS
Sashfa,,Sete (7),,Numeral,,-,,Sách-fa,Número místico/sorte.,AMBOS
Shamna,,Oito (8),,Numeral,,-,,Chám-na,-,AMBOS
Psita,,Nove (9),,Numeral,,-,,Psi-ta,-,AMBOS
Mēta,,Dez (10),,Numeral,,-,,Mê-ta,Base decimal.,AMBOS
Rêa,,Sol ,,Subst. Masc.,,Rêais,,Rê-a,Origem: Copta Rê. O astro rei ou divindade solar.,AMBOS
Ioha,,Lua,,Subst. Fem.,,Iohais,,I-ó-ha,Origem: Copta Ioh. Associado à noite e magia.,AMBOS
Siua,,Estrela,,Subst. Fem.,,Siuais,,Si-u-a,Origem: Copta Siou. Guia de navegação.,AMBOS
Tepia,,Céu / Firmamento,,Subst. Masc.,,Tepiais,,Te-pi-a,Origem: Copta Tpê. Onde vivem os astros.,AMBOS
Klola,,Nuvem,,Subst. Fem.,,Klolais,,Kló-la,Origem: Copta Kloole.,AMBOS
Howa,,Chuva,,Subst. Masc.,,Howais,,Hô-wa,Origem: Copta Hwou. Água que cai do céu.,AMBOS
Tiu,,Vento,,Subst. Masc.,,Tiuis,,Ti-u,"Origem: Copta Tyou. Já usado, agora oficializado.",AMBOS
Ona,,Pedra / Rocha,,Subst. Fem.,,Onais,,Ó-na,Origem: Copta Ōne. Material de construção ou geologia.,AMBOS
Uoina,,Luz,,Subst. Masc.,,Uoinais,,U-ói-na,Origem: Copta Ouoein. Oposto de escuridão (Kaki).,AMBOS
Kaki,,Escuridão / Trevas,,Subst. Fem.,,-,,Ká-ki,Origem: Copta Kake. Ausência de luz.,AMBOS
 He ,,Cair,,Verbo,,-,,He,,AMBOS
Uonsha,,Lobo,,Subst. Masc.,,Uonshis,,U-ôn-cha,"Origem: Copta Ouōnsh. Comum no ""Shēna"" (Bosque).",AMBOS
Hato,,Cavalo,,Subst. Masc.,,Hatois,,Há-to,Origem: Copta Hto. Animal essencial para transporte e guerra.,AMBOS
Tebta,,Peixe,,Subst. Masc.,,Tebtais,,Téb-ta,Origem: Copta Tebt. Fonte de alimento do rio.,AMBOS
Hofa,,Cobra / Serpente,,Subst. Masc.,,Hofais,,Hó-fa,Origem: Copta Hof. Símbolo de perigo ou medicina.,AMBOS
Muia,,Leão,,Subst. Fem.,,Muiais,,Múi-a,Origem: Copta Mouei. Símbolo de realeza ou força bruta.,AMBOS
Emua,,Gato,,Subst. Masc.,,Emuais,,Ê-mu-a,Origem: Copta Emou. Animal doméstico ou sagrado.,AMBOS
Uhara,,Cão,,Subst. Masc.,,Uharais,,U-há-ra,Origem: Copta Ouhor. Cão de caça ou guarda.,AMBOS
Masa,,Bezerro / Gado,,Subst. Masc.,,Masais,,Má-sa,Origem: Copta Mase. Gado jovem ou criação.,AMBOS
Siu,,Tempo / Época,,Subst. Masc.,,Siuis,,Si-u,Origem: Copta Seou. Conceito abstrato de tempo.,AMBOS
Rompa,,Ano,,Subst. Fem.,,Rompais,,Rôm-pa,Origem: Copta Rompe. Usado para idades e ciclos.,AMBOS
Ebota,,Mês,,Subst. Masc.,,Ebotais,,E-bó-ta,Origem: Copta Ebot. Ciclo lunar.,AMBOS
Una,,Hora / Momento,,Subst. Fem.,,Unais,,Ú-na,Origem: Copta Ounou. Uma divisão do dia.,AMBOS
Poua,,Hoje,,Advérbio,,-,,Pô-ua,Origem: Copta Poou.,AMBOS
Rasta,,Amanhã,,Advérbio,,-,,Rás-ta,Origem: Copta Rast. O dia seguinte.,AMBOS
Safa,,Ontem,,Advérbio,,-,,Sá-fa,Origem: Copta Saf. O dia anterior.,AMBOS
Tenu,,Agora,,Advérbio,,-,,Tê-nu,Origem: Copta Tenou. Neste momento.,AMBOS
Pola,,Correr / Fluir,,Verbo,,-,,Pô-la,"Usado para pessoas, animais e líquidos.",AMBOS
Misha,,Lutar / Batalhar,,Verbo,,-,,Mi-cha,Combate físico ou disputa de ideias.,AMBOS
Enko,,Dormir,,Verbo,,-,,En-kô,Suavizado de Nkotk. Repouso profundo.,AMBOS
Jia,,Pegar / Tomar,,Verbo,,-,,Ji-a,Receber algo ou segurar com a mão.,AMBOS
Tia,,Dar / Oferecer,,Verbo,,-,,Ti-a,O oposto de Jia. Entregar algo.,AMBOS
Saja,,Falar / Dizer,,Verbo,,-,,Sá-ja,Comunicação verbal.,AMBOS
Sota,,Ouvir / Escutar,,Verbo,,-,,Sô-ta,Perceber som ou obedecer.,AMBOS
Matu,,Paz/Êxito,,Subst. Fem.,,-,,,,AMBOS
Sifa,,Espada,,Subst. Fem.,,Sifais,,,,AMBOS
Pa,,Meu / Minha,,Possessivo,,-,,Pá,"""Pa Sifa"" (Minha espada).",AMBOS
Peka,,Teu / Tua,,Possessivo,,-,,Pé-ka,"""Peka Hato"" (Teu cavalo).",AMBOS
Pefa,,Dele,,Possessivo,,-,,Pé-fa,"""Pefa Aia"" (A casa dele).",AMBOS
Pesa,,Dela,,Possessivo,,-,,Pé-sa,"""Pesa Mava"" (A mãe dela).",AMBOS
Pena,,Nosso(a),,Possessivo,,-,,Pé-na,"""Pena Uro"" (Nosso rei).",AMBOS
Pura,,Vosso(a),,Possessivo,,-,,Pú-ra,De vocês (Plural).,AMBOS
Pau,,Deles / Delas,,Possessivo,,-,,Pau,Pertence a eles.,AMBOS
Nte,,De (posse),,Possessivo,,-,,n-té,"De alguma lugar, de alguem",
Nima,,Quem,,Pron. Interrog.,,-,,Ni-ma,"""Quem é você?""",AMBOS
Asha,,O que / Qual,,Pron. Interrog.,,-,,A-cha,"""O que é isso?""",AMBOS
Tona,,Onde,,Pron. Interrog.,,-,,Tô-na,"""Onde está o rei?""",AMBOS
Tuna,,Quando,,Pron. Interrog.,,-,,Tu-na,"""Quando ele vem?""",AMBOS
Etba,,Por que,,Pron. Interrog.,,-,,Et-ba,"""Por que lutamos?""",AMBOS
Hosa,,Como,,Pron. Interrog.,,-,,Hô-sa,"""Como fazer?""",AMBOS
Uer,,Quanto(s),,Pron. Interrog.,,-,,U-ér,"""Quantos anos?""",AMBOS
Au,,E,,Conjunção,,-,,Au,"""Eu e você"".",AMBOS
Ala,,Mas / Porém,,Conjunção,,-,,Á-la,"""Forte mas velho"".",AMBOS
Ea,,Ou,,Conjunção,,-,,Ê-a,"""Água ou Vinho"".",AMBOS
Jea,,Porque / Que,,Conjunção,,-,,Jê-a,Resposta para Etba.,AMBOS
Esha,,Se,,Conjunção,,-,,Ê-cha,Condicional.,AMBOS
Hena,,Com,,Preposição,,-,,Hê-na,Companhia.,AMBOS
Tamia,,Fazer/criar,,Verbo,,,,,"Criar ou fazer algo, alguma coisa",
Ina,,Ser / É / Sou,,Verbo ,,-,,I-na,"Usado para nomes, profissões e definições imutáveis. ""Eu sou Rei"".",AMBOS
Shopa,,Estar / Ficar / Há,,Verbo ,,-,,Chô-pa,"Usado para localização, emoções temporárias ou existência (""Há um lobo"").",AMBOS
An,,Não Ser / Não Estar,,Negação,,-,,An,Partícula negativa colocada antes do Verbo. (Baseado no Copta An).,AMBOS
Boka,,Ir / Partir,,Verbo,,-,,Bô-ka,Movimento para longe.,AMBOS
Eia,,Vir / Chegar,,Verbo,,-,,Ei-a,Movimento para perto.,AMBOS
Koto,,Voltar / Retornar,,Verbo,,-,,Kô-to,Regressar à origem.,AMBOS
